Unnamed: 0,acc.date,type,reg,operator,fat,location,dmg
689,2019-02-08,Convair C-131B Samaritan,n145gt,Conquest Air Cargo,1.0,"21 km E off Bay Harbor Islands, FL",w/o
690,2019-02-09,Cessna 208 Caravan I,pr-rta,RICO Taxi Aéreo,0.0,"231 km SSW of Caracaraí, RR",sub
691,2019-02-09,Embraer ERJ 190AR (ERJ-190-100 IGW),5y-fff,Kenya Airways,0.0,Nairobi-Jomo Kenyatta International Airport (NBO),sub
692,2019-02-09,Embraer ERJ 190AR (ERJ-190-100 IGW),5y-kyr,Kenya Airways,0.0,Nairobi-Jomo Kenyatta International Airport (NBO),sub
693,2019-02-11,Raytheon Beechjet 400A,n750ta,Stein's Aircraft Services,0.0,"Richmond Municipal Airport, IN (RID)",sub
694,2019-02-13,Embraer ERJ-175LR (ERJ-170-200 LR),n613cz,"Delta Airlines, opb Compass Airlines",0.0,"near Reno-Tahoe International Airport (KRNO), Washoe County, NV",min
695,2019-02-13,de Havilland Canada DHC-6 Twin Otter 300,pj-wii,Winair,0.0,Saint-Barthélémy-Rémy de Haenen Airport (SBH/TFFJ),non
696,2019-02-13,Boeing 787-9 Dreamliner,ph-bha,KLM Royal Dutch Airlines,0.0,Amsterdam-Schiphol International Airport (AMS/EHAM),min
697,2019-02-13,Boeing 747-406M,ph-bfv,KLM Royal Dutch Airlines,0.0,Amsterdam-Schiphol International Airport (AMS/EHAM),min
698,2019-02-17,Boeing 737-832 (WL),n3730b,Delta Air Lines,0.0,"Franklin, Tennessee",non
699,2019-02-23,Boeing 767-375ER (BCF) (WL),n1217a,"Amazon Air, opb Atlas Air",3.0,"Trinity Bay, near Anahuac, TX",w/o
700,2019-02-24,Boeing 737-8E9 (WL),s2-ahv,Biman Bangladesh Airlines,1.0,Chittagong-Shah Amanat International Airport (CGP),min
701,2019-02-25,de Havilland Canada EO-5C (DHC-7-102),n89068,United States Army,0.0,Pyongtaek-Desiderio AAF (RKSG),sub
702,2019-02-26,Gulfstream G200 Galaxy,4k-az88,Silk Way Business Aviation,0.0,Moskva-Sheremetyevo Airport (SVO),sub
703,2019-02-27,Boeing 777-223ER,n771an,American Airlines,0.0,"near Honolulu, Oahu, HI",non
704,2019-02-28,Embraer ERJ-195LR (ERJ-190-200 LR),g-fbej,Flybe,0.0,Exeter Airport (EXT/EGTE),non
705,2019-03-02,de Havilland Canada DHC-8-402Q Dash 8,g-jecn,Flybe,0.0,Southampton-Eastleigh Airport (SOU/EGHI),sub
706,2019-03-03,Bombardier BD-100 Challenger 350,n715cg,private,0.0,"Eufaula-Weedon Field, AL (EUF/KEUF)",w/o
707,2019-03-03,Airbus A320-214 (WL),pr-ocw,Avianca Brasil,0.0,"Rio de Janeiro/Galeão-Antonio Carlos Jobim International Airport, RJ",sub
708,2019-03-03,Honda HA-420 HondaJet,n105hj,Banyan Jet Service,0.0,"Eufaula-Weedon Field, AL (EUF/KEUF)",w/o
709,2019-03-03,Beechcraft 1900D,7t-vio,Tassili Airlines,0.0,Ouargla-Ain Beida Airport (OGX),sub
710,2019-03-04,Cessna 208B Grand Caravan,c-fafv,Amik Aviation,0.0,"1,4 km S of Little Grand Rapids Airport, MB (ZGR)",sub
711,2019-03-04,Embraer EMB-145XR,n14171,"United Express, opb CommutAir",0.0,"Presque Isle International Airport, ME (PQI)",sub
712,2019-03-07,Learjet 35A,lv-bnr,Baires Fly,0.0,"Buenos Aires-Jorge Newbery Airport, BA (AEP)",sub
713,2019-03-09,Gulfstream G-IV,n505gf,Waffle House Inc.,0.0,"Atlanta-DeKalb Peachtree Airport, GA (PDK)",sub
714,2019-03-09,Douglas DC-3,hk-2494,LASER Aéreo Colombia,14.0,"Finca La Bendición, San Martín",w/o
715,2019-03-10,Boeing 737-832 (WL),n3756,Delta Air Lines,0.0,"Atlanta Hartsfield-Jackson International Airport, GA (ATL/KATL)",sub
716,2019-03-10,Bombardier CRJ-900LR,n569nn,"PSA Airlines, opf American Eagle",0.0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)",sub
717,2019-03-10,Bombardier CL-600-2C10 Regional Jet CRJ-702ER,n530ea,"PSA Airlines, opf American Eagle",0.0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)",sub
718,2019-03-10,Hawker Siddeley HS-125-600A,fake reg.,private,1.0,"near San Pedro Peralta, Chetumal, Quintana Roo",w/o
719,2019-03-10,Boeing 737 MAX 8,et-avj,Ethiopian Airlines,157.0,50 km ESE of Addis Ababa-Bole Airport (ADD),w/o
720,2019-03-11,de Havilland Canada CC-138 Twin Otter (DHC-6),13803,Royal Canadian Air Force - RCAF,0.0,"140 km N Inuvik, NT",sub
721,2019-03-12,Beechcraft A100 King Air,n945ws,Golden Wings Aviation Inc.,0.0,"Latrobe-Westmoreland County Airport, PA (LBE)",sub
722,2019-03-14,Cessna 650 Citation III,n220cm,RP Sales and Leasing Inc.,0.0,"Orlando Sanford International Airport, FL (SFB)",sub
723,2019-03-18,IAI 1124 Westwind,n4mh,Sundance Airport FBO LLC,2.0,"Oklahoma City-Sundance Airport, OK (HSD)",w/o
724,2019-03-18,Bombardier BD-100-1A10 Challenger 300,9m-tst,Berjaya Air,1.0,Kuala Lumpur-Sultan Abdul Aziz Shah Airport (SZB),sub
725,2019-03-19,Fokker 100,ep-idg,Iran Air,0.0,Tehran-Mehrabad Airport (THR/OIII),sub
726,2019-03-21,ATR 72-500 (72-212A),tr-abs,Afrijet,0.0,São Tomé Island Airport (TMS/FPST),sub
727,2019-03-22,Rockwell Sabreliner 60,n990pa,private,0.0,ca 14 km E of Bajamar,w/o
